22
0.0 e05 64 659.274206222176
6.0 a04 57 440.010109760719 7
14.0 g03 43 195.9998757643836 14
21.75 c03 36 130.81344004395967 7
41.5 b04 59 493.895493452365 23
51.0 f04 53 349.2350614339879 6
61.5 d04 50 293.66975814369056 3
70.0 f05 65 698.4772876209713 15
78.0 c05 60 523.2644950750164 5
85.5 g04 55 392.0037725760563 5
93.5 e03 40 164.81517026262188 15
103.5 e04 52 329.6337218008237 12
113.5 g04 55 392.0037725760563 3
123.5 b04 59 493.895493452365 4
133.0 f04 53 349.2350614339879 6
141.0 f#5 66 740.0115410520648 13
147.75 c05 60 523.2644950750164 6
155.75 b03 47 246.94521361646014 13
163.75 c03 36 130.81344004395967 11
172.0 g05 67 784.0155873291847 14
129.5 f04 53 349.2350614339879 3
63.5 f04 53 349.2350614339879 7
