85
0.0 e05 64 659.274206222176
1.5 e05 64 659.274206222176 0
3.0 e05 64 659.274206222176 0
4.75 a04 57 440.010109760719 7
6.0 a04 57 440.010109760719 0
9.0 e04 52 329.6337218008237 5
10.75 e04 52 329.6337218008237 0
12.75 c04 48 261.62956379894933 4
14.0 g03 43 195.9998757643836 5
17.0 g03 43 195.9998757643836 0
18.75 c03 36 130.81344004395967 7
20.25 c03 36 130.81344004395967 0
21.75 c03 36 130.81344004395967 0
27.0 d04 50 293.66975814369056 14
29.5 g05 67 784.0155873291847 17
34.0 bb4 58 466.1748709275304 9
41.5 b04 59 493.895493452365 1
44.0 f04 53 349.2350614339879 6
46.5 g04 55 392.0037725760563 2
48.5 e04 52 329.6337218008237 3
51.0 f04 53 349.2350614339879 1
53.0 f05 65 698.4772876209713 12
55.5 gb4 54 370.0019751270985 11
58.5 bb4 58 466.1748709275304 4
61.5 d04 50 293.66975814369056 8
63.5 g04 55 392.0037725760563 5
66.0 bb3 46 233.0850445286108 9
68.0 bb4 58 466.1748709275304 12
70.0 f05 65 698.4772876209713 7
72.0 f05 65 698.4772876209713 0
74.0 f#5 66 740.0115410520648 1
76.25 g05 67 784.0155873291847 1
78.0 c05 60 523.2644950750164 7
79.5 c05 60 523.2644950750164 0
81.0 c05 60 523.2644950750164 0
84.0 g04 55 392.0037725760563 5
85.5 g04 55 392.0037725760563 0
87.0 c04 48 261.62956379894933 7
89.0 g03 43 195.9998757643836 5
92.0 e03 40 164.81517026262188 3
93.5 e03 40 164.81517026262188 0
95.0 e03 40 164.81517026262188 0
96.75 a02 33 110.0002707114078 7
98.0 a02 33 110.0002707114078 0
103.5 e04 52 329.6337218008237 19
105.75 a05 69 880.0292465754202 17
108.5 bb4 58 466.1748709275304 11
111.5 d04 50 293.66975814369056 8
113.5 g04 55 392.0037725760563 5
116.0 bb3 46 233.0850445286108 9
118.0 bb4 58 466.1748709275304 12
120.0 bb4 58 466.1748709275304 0
123.5 b04 59 493.895493452365 1
126.0 f04 53 349.2350614339879 6
128.5 g04 55 392.0037725760563 2
130.5 e04 52 329.6337218008237 3
133.0 f04 53 349.2350614339879 1
135.0 f05 65 698.4772876209713 12
137.0 f05 65 698.4772876209713 0
139.0 f05 65 698.4772876209713 0
141.0 f#5 66 740.0115410520648 1
143.0 g05 67 784.0155873291847 1
144.75 c05 60 523.2644950750164 7
146.25 c05 60 523.2644950750164 0
147.75 c05 60 523.2644950750164 0
150.75 g04 55 392.0037725760563 5
152.25 f04 53 349.2350614339879 2
154.25 d04 50 293.66975814369056 3
155.75 b03 47 246.94521361646014 3
158.75 e03 40 164.81517026262188 7
160.25 e03 40 164.81517026262188 0
162.25 c03 36 130.81344004395967 4
163.75 c03 36 130.81344004395967 0
169.0 d04 50 293.66975814369056 14
171.5 g05 67 784.0155873291847 17
173.0 g04 55 392.0037725760563 12
172.0 g05 67 784.0155873291847 7
129.5 f04 53 349.2350614339879 4
124.5 e04 52 329.6337218008237 7
120.5 db4 49 277.18710418068997 0
110.5 c04 48 261.62956379894933 0
63.5 f04 53 349.2350614339879 0
58.5 e04 52 329.6337218008237 0
54.5 db4 49 277.18710418068997 7
44.5 c04 48 261.62956379894933 0
