335
0.0 e05 64 659.274206222176
0.25 g05 67 784.0155873291847 3
0.75 e05 64 659.274206222176 3
1.0 g05 67 784.0155873291847 3
1.5 e05 64 659.274206222176 3
2.0 c05 60 523.2644950750164 4
2.25 e05 64 659.274206222176 4
2.75 c05 60 523.2644950750164 4
3.0 e05 64 659.274206222176 4
3.5 c05 60 523.2644950750164 4
4.0 a04 57 440.010109760719 3
4.25 c05 60 523.2644950750164 3
4.75 a04 57 440.010109760719 3
5.0 c05 60 523.2644950750164 3
5.5 a04 57 440.010109760719 3
5.75 c05 60 523.2644950750164 3
6.0 a04 57 440.010109760719 3
8.0 g04 55 392.0037725760563 2
8.25 a04 57 440.010109760719 2
8.75 g04 55 392.0037725760563 2
9.0 e04 52 329.6337218008237 3
9.5 g04 55 392.0037725760563 3
10.0 e04 52 329.6337218008237 3
10.25 f04 53 349.2350614339879 1
10.75 e04 52 329.6337218008237 1
11.0 c04 48 261.62956379894933 4
12.0 c04 48 261.62956379894933 0
12.25 d04 50 293.66975814369056 2
12.75 c04 48 261.62956379894933 2
13.0 g03 43 195.9998757643836 5
13.5 g03 43 195.9998757643836 0
13.75 b03 47 246.94521361646014 4
14.0 g03 43 195.9998757643836 4
16.0 e03 40 164.81517026262188 3
16.25 g03 43 195.9998757643836 3
16.75 e03 40 164.81517026262188 3
17.0 g03 43 195.9998757643836 3
17.5 e03 40 164.81517026262188 3
18.0 c03 36 130.81344004395967 4
18.25 e03 40 164.81517026262188 4
18.75 c03 36 130.81344004395967 4
19.0 e03 40 164.81517026262188 4
19.5 c03 36 130.81344004395967 4
20.0 a02 33 110.0002707114078 3
20.25 c03 36 130.81344004395967 3
20.75 a02 33 110.0002707114078 3
21.0 c03 36 130.81344004395967 3
21.5 a02 33 110.0002707114078 3
21.75 c03 36 130.81344004395967 3
22.0 a02 33 110.0002707114078 3
25.0 d03 38 146.8333728873804 5
25.5 e03 40 164.81517026262188 2
27.0 d04 50 293.66975814369056 10
27.5 e04 52 329.6337218008237 2
27.75 g04 55 392.0037725760563 3
29.0 e05 64 659.274206222176 9
29.5 g05 67 784.0155873291847 3
29.75 a05 69 880.0292465754202 2
30.0 c06 72 1046.5397252143853 3
32.0 bb4 58 466.1748709275304 14
34.0 bb4 58 466.1748709275304 0
36.0 bb4 58 466.1748709275304 0
37.5 g04 55 392.0037725760563 3
38.0 bb4 58 466.1748709275304 3
41.5 b04 59 493.895493452365 1
42.0 c05 60 523.2644950750164 1
42.5 bb4 58 466.1748709275304 2
43.5 a04 57 440.010109760719 1
44.0 f04 53 349.2350614339879 4
44.5 a04 57 440.010109760719 4
45.5 d04 50 293.66975814369056 7
46.0 e04 52 329.6337218008237 2
46.5 g04 55 392.0037725760563 3
47.0 d04 50 293.66975814369056 5
47.5 g04 55 392.0037725760563 5
48.0 c04 48 261.62956379894933 7
48.5 e04 52 329.6337218008237 4
49.5 a03 45 220.00279814001308 7
50.0 bb3 46 233.0850445286108 1
50.5 d04 50 293.66975814369056 4
51.0 f04 53 349.2350614339879 3
51.5 g04 55 392.0037725760563 2
52.0 bb4 58 466.1748709275304 3
52.5 d05 62 587.3455410870412 4
53.0 f05 65 698.4772876209713 3
53.5 d05 62 587.3455410870412 3
54.0 bb4 58 466.1748709275304 4
54.5 gb4 54 370.0019751270985 4
55.5 gb4 54 370.0019751270985 0
56.5 gb4 54 370.0019751270985 0
57.5 b04 59 493.895493452365 5
58.0 c05 60 523.2644950750164 1
58.5 bb4 58 466.1748709275304 2
59.5 a04 57 440.010109760719 1
60.0 f04 53 349.2350614339879 4
60.5 a04 57 440.010109760719 4
61.5 d04 50 293.66975814369056 7
62.0 e04 52 329.6337218008237 2
62.5 g04 55 392.0037725760563 3
63.0 d04 50 293.66975814369056 5
63.5 g04 55 392.0037725760563 5
64.0 c04 48 261.62956379894933 7
64.5 e04 52 329.6337218008237 4
65.5 a03 45 220.00279814001308 7
66.0 bb3 46 233.0850445286108 1
66.5 d04 50 293.66975814369056 4
67.0 f04 53 349.2350614339879 3
67.5 g04 55 392.0037725760563 2
