27
2.25 c03 36 130.81344004395967
4.5 g02 31 97.99893263068115 5
8.0 c04 48 261.62956379894933 17
12.0 c04 48 261.62956379894933 0
16.5 e03 40 164.81517026262188 8
19.0 c03 36 130.81344004395967 4
23.0 d03 38 146.8333728873804 2
25.75 g02 31 97.99893263068115 7
28.75 f#3 42 184.99908988354827 11
31.25 d04 50 293.66975814369056 8
33.75 g04 55 392.0037725760563 5
36.75 f04 53 349.2350614339879 2
39.5 e04 52 329.6337218008237 1
41.75 bb4 58 466.1748709275304 6
43.75 g04 55 392.0037725760563 3
45.75 e04 52 329.6337218008237 3
47.75 c04 48 261.62956379894933 4
50.75 g03 43 195.9998757643836 5
52.75 d04 50 293.66975814369056 7
55.5 e03 40 164.81517026262188 10
59.5 c#4 49 277.18710418068997 9
63.75 a03 45 220.00279814001308 4
67.75 d04 50 293.66975814369056 5
71.75 g03 43 195.9998757643836 7
75.5 bb3 46 233.0850445286108 3
78.75 f03 41 174.61573954711844 5
81.5 e03 40 164.81517026262188 1
