108
2.25 c03 36 130.81344004395967
2.75 e03 40 164.81517026262188 4
3.25 d03 38 146.8333728873804 2
3.75 c03 36 130.81344004395967 2
4.5 g02 31 97.99893263068115 5
6.5 a03 45 220.00279814001308 14
7.0 c04 48 261.62956379894933 3
7.5 b03 47 246.94521361646014 1
8.0 c04 48 261.62956379894933 1
9.0 c04 48 261.62956379894933 0
10.0 e04 52 329.6337218008237 4
11.0 a03 45 220.00279814001308 7
12.0 c04 48 261.62956379894933 3
13.0 f#3 42 184.99908988354827 6
14.0 a03 45 220.00279814001308 3
15.0 c04 48 261.62956379894933 3
16.5 e03 40 164.81517026262188 8
17.0 g03 43 195.9998757643836 3
17.5 f#3 42 184.99908988354827 1
18.0 g03 43 195.9998757643836 1
19.0 c03 36 130.81344004395967 7
20.0 e03 40 164.81517026262188 4
21.0 g03 43 195.9998757643836 3
22.0 b02 35 123.47134026636078 8
23.0 d03 38 146.8333728873804 3
24.25 g02 31 97.99893263068115 7
24.75 b02 35 123.47134026636078 4
25.25 a02 33 110.0002707114078 2
25.75 g02 31 97.99893263068115 2
26.5 g03 43 195.9998757643836 12
27.5 g03 43 195.9998757643836 0
28.25 d03 38 146.8333728873804 5
28.75 f#3 42 184.99908988354827 4
29.25 e03 40 164.81517026262188 2
29.75 d03 38 146.8333728873804 2
30.25 d04 50 293.66975814369056 12
31.25 d04 50 293.66975814369056 0
32.25 g04 55 392.0037725760563 5
32.75 e04 52 329.6337218008237 3
33.25 f04 53 349.2350614339879 1
33.75 g04 55 392.0037725760563 2
34.5 e04 52 329.6337218008237 3
35.5 d04 50 293.66975814369056 2
36.25 a04 57 440.010109760719 7
36.75 f04 53 349.2350614339879 4
37.25 g04 55 392.0037725760563 2
37.75 a04 57 440.010109760719 2
38.5 f04 53 349.2350614339879 4
39.5 e04 52 329.6337218008237 1
40.25 bb4 58 466.1748709275304 6
40.75 g04 55 392.0037725760563 3
41.25 a04 57 440.010109760719 2
41.75 bb4 58 466.1748709275304 1
42.25 g04 55 392.0037725760563 3
42.75 e04 52 329.6337218008237 3
43.25 f04 53 349.2350614339879 1
43.75 g04 55 392.0037725760563 2
44.25 e04 52 329.6337218008237 3
44.75 c04 48 261.62956379894933 4
45.25 d04 50 293.66975814369056 2
45.75 e04 52 329.6337218008237 2
46.25 c04 48 261.62956379894933 4
46.75 a03 45 220.00279814001308 3
47.25 b03 47 246.94521361646014 2
47.75 c04 48 261.62956379894933 1
48.5 e03 40 164.81517026262188 8
49.75 e04 52 329.6337218008237 12
50.25 b03 47 246.94521361646014 5
50.75 g03 43 195.9998757643836 4
51.25 a03 45 220.00279814001308 2
51.75 b03 47 246.94521361646014 2
52.25 c04 48 261.62956379894933 1
52.75 d04 50 293.66975814369056 2
53.25 e04 52 329.6337218008237 2
53.75 f04 53 349.2350614339879 1
54.5 a03 45 220.00279814001308 8
55.5 e03 40 164.81517026262188 5
56.5 a02 33 110.0002707114078 7
58.5 d04 50 293.66975814369056 17
59.0 b03 47 246.94521361646014 3
59.5 c#4 49 277.18710418068997 2
62.25 a03 45 220.00279814001308 4
62.75 c04 48 261.62956379894933 3
63.25 b03 47 246.94521361646014 1
63.75 a03 45 220.00279814001308 2
66.25 d04 50 293.66975814369056 5
66.75 b03 47 246.94521361646014 3
67.25 c04 48 261.62956379894933 1
67.75 d04 50 293.66975814369056 2
70.25 g03 43 195.9998757643836 7
70.75 bb3 46 233.0850445286108 3
71.25 a03 45 220.00279814001308 1
71.75 g03 43 195.9998757643836 2
72.5 bb3 46 233.0850445286108 3
73.5 g03 43 195.9998757643836 3
74.5 d04 50 293.66975814369056 7
75.5 bb3 46 233.0850445286108 4
76.5 f04 53 349.2350614339879 7
77.5 d04 50 293.66975814369056 3
78.25 d03 38 146.8333728873804 12
78.75 f03 41 174.61573954711844 3
79.25 e03 40 164.81517026262188 1
79.75 d03 38 146.8333728873804 2
80.5 c03 36 130.81344004395967 2
81.5 e03 40 164.81517026262188 4
82.25 d03 38 146.8333728873804 2
82.75 f03 41 174.61573954711844 3
83.5 g02 31 97.99893263068115 10
