119
0.25 c04 48 261.62956379894933
0.75 e04 52 329.6337218008237 4
1.25 d04 50 293.66975814369056 2
1.75 c04 48 261.62956379894933 2
2.5 c05 60 523.2644950750164 12
3.5 c05 60 523.2644950750164 0
4.25 g04 55 392.0037725760563 5
4.75 b04 59 493.895493452365 4
5.25 a04 57 440.010109760719 2
5.75 g04 55 392.0037725760563 2
6.5 g05 67 784.0155873291847 12
7.5 g05 67 784.0155873291847 0
8.25 a05 69 880.0292465754202 2
8.75 f05 65 698.4772876209713 4
9.25 g05 67 784.0155873291847 2
9.75 a05 69 880.0292465754202 2
10.25 f05 65 698.4772876209713 4
10.75 d05 62 587.3455410870412 3
11.25 e05 64 659.274206222176 2
11.75 f05 65 698.4772876209713 1
12.25 d05 62 587.3455410870412 3
12.75 b04 59 493.895493452365 3
13.25 c05 60 523.2644950750164 1
13.75 d05 62 587.3455410870412 2
14.25 b04 59 493.895493452365 3
14.75 g04 55 392.0037725760563 4
15.25 a04 57 440.010109760719 2
15.75 b04 59 493.895493452365 2
16.5 d04 50 293.66975814369056 9
17.75 d05 62 587.3455410870412 12
18.25 a04 57 440.010109760719 5
18.75 f#4 54 370.0019751270985 3
19.25 g04 55 392.0037725760563 1
19.75 a04 57 440.010109760719 2
20.25 b04 59 493.895493452365 2
20.75 c05 60 523.2644950750164 1
21.25 d05 62 587.3455410870412 2
21.75 e05 64 659.274206222176 2
22.25 b04 59 493.895493452365 5
22.5 d05 62 587.3455410870412 3
23.0 b04 59 493.895493452365 3
23.5 g04 55 392.0037725760563 4
26.25 g04 55 392.0037725760563 0
26.75 b04 59 493.895493452365 4
27.25 a04 57 440.010109760719 2
27.75 g04 55 392.0037725760563 2
30.25 a04 57 440.010109760719 2
30.75 c05 60 523.2644950750164 3
31.25 b04 59 493.895493452365 1
31.75 a04 57 440.010109760719 2
34.25 d05 62 587.3455410870412 5
34.75 b04 59 493.895493452365 3
35.25 c05 60 523.2644950750164 1
35.75 d05 62 587.3455410870412 2
38.25 e05 64 659.274206222176 2
38.75 c05 60 523.2644950750164 4
39.25 d05 62 587.3455410870412 2
39.75 e05 64 659.274206222176 2
40.5 c#5 61 554.3798950101573 3
41.5 e05 64 659.274206222176 3
42.5 a04 57 440.010109760719 7
43.5 c05 60 523.2644950750164 3
44.5 f#4 54 370.0019751270985 6
45.5 a04 57 440.010109760719 3
46.5 c05 60 523.2644950750164 3
48.25 e04 52 329.6337218008237 8
48.75 g#4 56 415.3138849085189 4
49.25 f#4 54 370.0019751270985 2
49.75 e04 52 329.6337218008237 2
50.25 d05 62 587.3455410870412 10
50.75 e05 64 659.274206222176 2
51.25 c05 60 523.2644950750164 4
51.75 d05 62 587.3455410870412 2
52.25 a05 69 880.0292465754202 7
52.75 b05 71 987.8011194475558 2
53.25 e05 64 659.274206222176 7
53.75 d05 62 587.3455410870412 2
54.25 f05 65 698.4772876209713 3
54.75 d05 62 587.3455410870412 3
55.5 b04 59 493.895493452365 3
56.0 a04 57 440.010109760719 2
56.5 g05 67 784.0155873291847 10
57.0 e05 64 659.274206222176 3
57.5 f05 65 698.4772876209713 1
58.0 g05 67 784.0155873291847 2
60.5 f05 65 698.4772876209713 2
61.0 a05 69 880.0292465754202 4
61.5 g05 67 784.0155873291847 2
62.0 f05 65 698.4772876209713 2
64.5 f05 65 698.4772876209713 0
65.0 d05 62 587.3455410870412 3
65.5 e05 64 659.274206222176 2
66.0 f05 65 698.4772876209713 1
68.5 e05 64 659.274206222176 1
69.0 g05 67 784.0155873291847 3
69.5 f05 65 698.4772876209713 2
70.0 e05 64 659.274206222176 1
72.5 d05 62 587.3455410870412 2
73.0 f05 65 698.4772876209713 3
73.5 e05 64 659.274206222176 1
74.0 d05 62 587.3455410870412 2
74.5 f05 65 698.4772876209713 3
75.0 a05 69 880.0292465754202 4
75.5 g05 67 784.0155873291847 2
76.0 f05 65 698.4772876209713 2
76.5 a05 69 880.0292465754202 4
77.0 c06 72 1046.5397252143853 3
77.5 b05 71 987.8011194475558 1
78.0 c06 72 1046.5397252143853 1
79.0 e05 64 659.274206222176 8
79.75 c05 60 523.2644950750164 4
80.25 bb4 58 466.1748709275304 2
80.75 g04 55 392.0037725760563 3
81.25 a04 57 440.010109760719 2
81.75 bb4 58 466.1748709275304 1
82.25 b04 59 493.895493452365 1
82.75 e04 52 329.6337218008237 7
83.25 c05 60 523.2644950750164 8
83.75 b04 59 493.895493452365 1
