238
0.25 c04 48 261.62956379894933
0.5 d04 50 293.66975814369056 2
0.75 e04 52 329.6337218008237 2
1.0 f04 53 349.2350614339879 1
1.25 d04 50 293.66975814369056 3
1.5 e04 52 329.6337218008237 2
1.75 c04 48 261.62956379894933 4
2.0 g04 55 392.0037725760563 7
2.5 c05 60 523.2644950750164 5
3.0 b05 71 987.8011194475558 11
3.5 c05 60 523.2644950750164 11
4.0 d05 62 587.3455410870412 2
4.25 g04 55 392.0037725760563 7
4.5 a04 57 440.010109760719 2
4.75 b04 59 493.895493452365 2
5.0 c05 60 523.2644950750164 1
5.25 a04 57 440.010109760719 3
5.5 b04 59 493.895493452365 2
5.75 g04 55 392.0037725760563 4
6.0 d05 62 587.3455410870412 7
6.5 g05 67 784.0155873291847 5
7.0 f05 65 698.4772876209713 2
7.5 g05 67 784.0155873291847 2
8.0 e05 64 659.274206222176 3
8.25 a05 69 880.0292465754202 5
8.5 g05 67 784.0155873291847 2
8.75 f05 65 698.4772876209713 2
9.0 e05 64 659.274206222176 1
9.25 g05 67 784.0155873291847 3
9.5 f05 65 698.4772876209713 2
9.75 a05 69 880.0292465754202 4
10.0 g05 67 784.0155873291847 2
10.25 f05 65 698.4772876209713 2
10.5 e05 64 659.274206222176 1
10.75 d05 62 587.3455410870412 2
11.0 c05 60 523.2644950750164 2
11.25 e05 64 659.274206222176 4
11.5 d05 62 587.3455410870412 2
11.75 f05 65 698.4772876209713 3
12.0 e05 64 659.274206222176 1
12.25 d05 62 587.3455410870412 2
12.5 c05 60 523.2644950750164 2
12.75 b04 59 493.895493452365 1
13.0 a04 57 440.010109760719 2
13.25 c05 60 523.2644950750164 3
13.5 b04 59 493.895493452365 1
13.75 d05 62 587.3455410870412 3
14.0 c05 60 523.2644950750164 2
14.25 b04 59 493.895493452365 1
14.5 a04 57 440.010109760719 2
14.75 g04 55 392.0037725760563 2
15.0 f#4 54 370.0019751270985 1
15.25 a04 57 440.010109760719 3
15.5 g04 55 392.0037725760563 2
15.75 b04 59 493.895493452365 4
16.0 a04 57 440.010109760719 2
16.5 d04 50 293.66975814369056 7
17.0 c05 60 523.2644950750164 10
17.75 d05 62 587.3455410870412 2
18.0 b04 59 493.895493452365 3
18.25 a04 57 440.010109760719 2
18.5 g04 55 392.0037725760563 2
18.75 f#4 54 370.0019751270985 1
19.0 e04 52 329.6337218008237 2
19.25 g04 55 392.0037725760563 3
19.5 f#4 54 370.0019751270985 1
19.75 a04 57 440.010109760719 3
20.0 g04 55 392.0037725760563 2
20.25 b04 59 493.895493452365 4
20.5 a04 57 440.010109760719 2
20.75 c05 60 523.2644950750164 3
21.0 b04 59 493.895493452365 1
21.25 d05 62 587.3455410870412 3
21.5 c05 60 523.2644950750164 2
21.75 e05 64 659.274206222176 4
22.0 d05 62 587.3455410870412 2
