216
2.25 c03 36 130.81344004395967
2.5 d03 38 146.8333728873804 2
2.75 e03 40 164.81517026262188 2
3.0 f03 41 174.61573954711844 1
3.25 d03 38 146.8333728873804 3
3.5 e03 40 164.81517026262188 2
3.75 c03 36 130.81344004395967 4
4.0 g03 43 195.9998757643836 7
4.5 g02 31 97.99893263068115 12
6.25 g03 43 195.9998757643836 12
6.5 a03 45 220.00279814001308 2
6.75 b03 47 246.94521361646014 2
7.0 c04 48 261.62956379894933 1
7.25 a03 45 220.00279814001308 3
7.5 b03 47 246.94521361646014 2
7.75 g03 43 195.9998757643836 4
8.0 c04 48 261.62956379894933 5
8.5 b03 47 246.94521361646014 1
9.0 c04 48 261.62956379894933 1
9.5 d04 50 293.66975814369056 2
10.0 e04 52 329.6337218008237 2
10.5 g03 43 195.9998757643836 9
11.0 a03 45 220.00279814001308 2
11.5 b03 47 246.94521361646014 2
12.0 c04 48 261.62956379894933 1
12.5 e03 40 164.81517026262188 8
13.0 f#3 42 184.99908988354827 2
13.5 g03 43 195.9998757643836 1
14.0 a03 45 220.00279814001308 2
14.5 b03 47 246.94521361646014 2
15.0 c04 48 261.62956379894933 1
16.25 d03 38 146.8333728873804 10
16.5 e03 40 164.81517026262188 2
16.75 f#3 42 184.99908988354827 2
17.0 g03 43 195.9998757643836 1
17.25 e03 40 164.81517026262188 3
17.5 f#3 42 184.99908988354827 2
17.75 d03 38 146.8333728873804 4
18.0 g03 43 195.9998757643836 5
18.5 b02 35 123.47134026636078 8
19.0 c03 36 130.81344004395967 1
19.5 d03 38 146.8333728873804 2
20.0 e03 40 164.81517026262188 2
20.5 f#3 42 184.99908988354827 2
21.0 g03 43 195.9998757643836 1
21.5 e03 40 164.81517026262188 3
22.0 b02 35 123.47134026636078 5
22.75 c03 36 130.81344004395967 1
23.0 d03 38 146.8333728873804 2
23.5 d02 26 73.4159333591827 12
24.25 g02 31 97.99893263068115 5
24.5 a02 33 110.0002707114078 2
24.75 b02 35 123.47134026636078 2
25.0 c03 36 130.81344004395967 1
25.25 a02 33 110.0002707114078 3
25.5 b02 35 123.47134026636078 2
25.75 g02 31 97.99893263068115 4
26.0 d03 38 146.8333728873804 7
26.5 g03 43 195.9998757643836 5
27.0 f#3 42 184.99908988354827 1
27.5 g03 43 195.9998757643836 1
28.0 a03 45 220.00279814001308 2
28.25 d03 38 146.8333728873804 7
28.5 e03 40 164.81517026262188 2
28.75 f#3 42 184.99908988354827 2
29.0 g03 43 195.9998757643836 1
29.25 e03 40 164.81517026262188 3
29.5 f#3 42 184.99908988354827 2
29.75 d03 38 146.8333728873804 4
30.0 a03 45 220.00279814001308 7
30.25 d04 50 293.66975814369056 5
30.75 c04 48 261.62956379894933 2
31.25 d04 50 293.66975814369056 2
31.75 g03 43 195.9998757643836 7
32.25 g04 55 392.0037725760563 12
32.5 f04 53 349.2350614339879 2
32.75 e04 52 329.6337218008237 1
33.0 d04 50 293.66975814369056 2
33.25 f04 53 349.2350614339879 3
33.5 e04 52 329.6337218008237 1
