30
0.25 c04 48 261.62956379894933
2.5 c05 60 523.2644950750164 12
5.25 a04 57 440.010109760719 3
8.25 a05 69 880.0292465754202 12
10.25 f05 65 698.4772876209713 4
12.25 d05 62 587.3455410870412 3
14.25 b04 59 493.895493452365 3
16.5 d04 50 293.66975814369056 9
19.25 g04 55 392.0037725760563 5
21.25 d05 62 587.3455410870412 7
23.0 b04 59 493.895493452365 3
27.25 a04 57 440.010109760719 2
31.25 b04 59 493.895493452365 2
35.25 c05 60 523.2644950750164 1
39.25 d05 62 587.3455410870412 2
42.5 a04 57 440.010109760719 5
46.5 c05 60 523.2644950750164 3
49.75 e04 52 329.6337218008237 8
51.75 d05 62 587.3455410870412 10
53.75 d05 62 587.3455410870412 0
56.0 a04 57 440.010109760719 5
58.0 g05 67 784.0155873291847 10
62.0 f05 65 698.4772876209713 2
66.0 f05 65 698.4772876209713 0
70.0 e05 64 659.274206222176 1
74.0 d05 62 587.3455410870412 2
76.0 f05 65 698.4772876209713 3
78.0 c06 72 1046.5397252143853 7
80.75 g04 55 392.0037725760563 17
82.75 e04 52 329.6337218008237 3
